"5世代,順位","評価点","R分離","R整列","R結合","R逃避","P分離","P整列","P結合","P逃避"
"0","2046.1425","40.5365","84.791824","93.05507","165.01875","10.174061","8.199034","0.11898911","5.260008"
"1","1885.2789","37.945053","118.71963","99.89023","168.03058","8.158233","7.4429054","1.3369871","6.954876"
"2","1860.3787","40.904823","83.042786","106.96476","169.65596","9.823551","9.064113","1.450497","5.3531704"
"3","1833.3572","42.036133","81.44436","99.00849","167.73044","8.595047","8.660959","0.4348024","5.038915"
"4","1828.4741","36.697613","82.71523","92.8382","165.35716","8.938706","8.39707","0.18656862","5.385238"
"5","1815.3347","39.82523","85.90434","106.47736","170.70747","10.121103","9.655647","1.2590394","4.7047358"
"6","1815.0084","41.203564","116.52505","97.52509","165.38554","9.215522","8.512583","0.3021984","5.9180794"
"7","1811.9375","39.621902","85.36683","91.21675","53.500824","9.835871","10.802961","0.09173298","1.0464612"
"8","1797.9669","40.924534","82.210815","100.87993","171.55382","10.753109","9.005382","1.6834121","6.6898384"
"9","1796.9192","38.23267","114.106895","90.69805","166.85896","9.452413","7.668488","0.24062979","4.8614244"
"10","1796.107","41.590702","84.49087","95.16546","166.22772","8.775309","9.6654825","1.7868019","5.8433976"
"11","1794.3147","40.180477","85.42717","95.67077","54.76058","10.320832","7.8756475","0.95176303","5.5933557"
"12","1787.9957","42.383804","86.80865","96.899605","52.235874","10.084685","9.870775","0.88223886","6.0763826"
"13","1783.3119","41.132187","115.77779","103.39817","167.60303","9.484221","8.114356","1.4750911","4.9559135"
"14","1781.4341","37.360054","81.32356","95.66321","165.0339","9.244751","9.007799","0.5428076","5.8792644"
"15","1775.0493","37.750534","84.481415","95.870865","47.55551","9.116536","9.072115","1.100272","6.8143253"
"16","1774.8853","40.75504","83.36891","100.64596","164.87686","9.030314","7.966351","0.5099418","5.4994197"
"17","1764.1956","41.2634","113.82572","92.428055","164.25562","10.358809","10.287496","-0.0028250217","4.966414"
"18","1757.4819","40.029274","79.81906","98.17064","51.15837","10.231803","8.697067","0.61330354","5.6139164"
"19","1753.0746","39.917892","116.361046","103.76528","163.47298","10.71049","8.092305","1.401496","6.406867"
"20","1745.3965","39.76338","82.75221","106.521675","48.639725","9.463659","9.982103","0.9198767","5.185911"
"21","1732.4055","43.394684","115.6073","90.53131","53.372215","9.49986","8.059942","0.88520205","4.713811"
"22","1713.1802","41.301514","116.31563","96.30812","165.55424","11.108512","9.252362","1.0568292","5.8343563"
"23","1684.6","43.10239","113.29704","98.380486","168.91177","10.849326","8.616853","0.59986174","4.9524164"
"24","1625.8441","44.969177","85.82783","93.60523","163.75633","8.279169","10.685693","0.10082579","5.248337"
"25","1607.2955","33.557415","88.605995","96.640915","166.69623","8.59688","8.77414","-0.39350402","6.390508"
"26","1606.1761","44.246716","114.026955","95.94832","170.24448","10.25047","10.103832","0.78926504","6.497844"
"27","1541.2626","38.89798","85.88896","94.66306","167.90741","9.115298","8.386074","1.1169411","4.863982"
"28","1532.9613","45.62935","83.594154","105.96759","55.644634","11.149087","9.774777","1.621487","4.939333"
"29","1510.5509","40.399178","83.13809","93.911354","163.89891","9.063732","8.888863","1.927858","6.9745674"
"30","1507.6423","45.83672","81.81621","93.17037","161.78577","9.949331","9.707282","1.8532293","5.5905886"
"31","1348.6447","38.666977","112.14967","95.55261","173.17325","11.222699","7.952983","-0.71633184","6.2346582"
"32","1082.6327","40.084026","82.45371","93.998314","167.60426","10.498177","7.3065724","0.58504033","5.872073"
"33","949.1962","40.417473","84.3613","95.57385","50.39344","9.627689","7.5427375","1.1366845","5.9164248"
"34","115.06349","37.08952","85.10153","99.86786","55.00152","9.3535385","8.037347","0.22599232","5.1017523"
"35","110.51792","37.38773","83.33064","96.59307","170.39993","10.183307","8.713233","0.026773214","5.425654"
"36","2.3024031E-5","38.489067","85.13102","92.81394","161.84277","12.032382","10.376516","-0.54361236","4.6662917"
"37","5.2744703E-8","35.930553","86.351944","101.309715","170.31033","9.784973","8.6729","-0.96695876","4.545565"
"38","1.9150622E-14","40.424072","90.38452","93.094635","164.99832","11.739815","9.985289","-0.46285295","4.8582287"
"39","0.0","129.14062","27.643782","100.0","115.192825","2.1426558","1.71736","1.7552989","9.223477"
"40","0.0","91.48802","93.99132","100.0","47.55551","1.8602821","5.7044525","4.437496","1.4573799"
"41","0.0","105.46327","127.226845","100.0","59.648647","8.770511","8.320019","3.327591","5.800138"
"42","0.0","123.293785","153.15614","100.0","30.273949","5.6447005","5.229956","3.780771","1.0464612"
"43","0.0","19.782207","122.67914","100.0","23.534187","7.3605747","1.6861546","5.0305147","7.9794"
"44","0.0","35.285023","127.226845","103.7705","50.953754","10.604721","7.329223","0.61514175","5.5446754"
"45","0.0","37.29158","90.409515","95.22135","161.61638","9.79631","8.983046","1.1142496","4.6297636"
"46","0.0","37.991604","84.20138","102.3192","166.22733","8.840437","10.027298","1.0263885","5.7949967"
"47","0.0","37.105865","112.52894","95.850525","168.65414","9.123244","8.951267","1.6554908","5.871336"
"48","0.0","33.21261","85.21267","97.93765","174.13678","9.696423","7.99092","2.0788646","4.946393"
"49","0.0","33.821686","119.50607","99.85545","166.21687","7.9822454","7.83533","2.038383","4.831172"
